Position,Abbreviation
1,VER
2,RUS
3,ANT
4,LEC
5,SAI
6,HAD
7,HUL
8,HAM
9,OCO
10,BEA
11,ALO
12,TSU
13,GAS
14,LAW
15,COL
16,ALB
17,BOR
18,STR
19,NOR
20,PIA
