Position,Abbreviation
1,NOR
2,ANT
3,VER
4,RUS
5,PIA
6,BEA
7,LAW
8,HAD
9,HUL
10,GAS
11,ALB
12,OCO
13,SAI
14,ALO
15,COL
16,STR
17,TSU
18,HAM
19,LEC
20,BOR
