Position,Abbreviation
1,VER
2,PIA
3,NOR
4,LEC
5,RUS
6,ALO
7,OCO
8,HAM
9,HUL
10,STR
11,BOR
12,BEA
13,SAI
14,TSU
15,ANT
16,ALB
17,HAD
18,LAW
19,GAS
20,COL
