Position,Abbreviation
1,VER
2,NOR
3,LEC
4,HAM
5,PIA
6,RUS
7,TSU
8,HUL
9,BEA
10,ALO
11,LAW
12,STR
13,ANT
14,ALB
15,OCO
16,HAD
17,COL
18,BOR
19,GAS
20,SAI
