Position,Abbreviation
1,VER
2,PIA
3,SAI
4,NOR
5,ANT
6,RUS
7,ALO
8,LEC
9,LAW
10,TSU
11,ALB
12,HAM
13,BOR
14,COL
15,OCO
16,GAS
17,STR
18,HAD
19,BEA
20,HUL
